File, Proof Verified, Time taken (seconds), Did time out
cycle_100_4.dimacs, True, 0.8976, False
cycle_10_4.dimacs, True, 0.3573, False
cycle_15_4.dimacs, True, 0.3411, False
cycle_200_4.dimacs, True, 0.3793, False
cycle_20_4.dimacs, True, 0.3461, False
cycle_3_4.dimacs, True, 0.3473, False
cycle_50_4.dimacs, True, 0.3479, False
cycle_5_4.dimacs, True, 0.3470, False
hypercube_5_8.dimacs, True, 0.4827, False
hypercube_6_9.dimacs, True, 11.3805, False
hypercube_7_10.dimacs, False, 16.6674, False
path_100_4.dimacs, True, 0.3801, False
path_10_4.dimacs, True, 0.3573, False
path_15_4.dimacs, True, 0.4179, False
path_200_4.dimacs, True, 0.3508, False
path_20_4.dimacs, True, 0.3355, False
path_2_2.dimacs, True, 0.3530, False
path_3_3.dimacs, True, 0.3386, False
path_4_3.dimacs, True, 0.3382, False
path_50_4.dimacs, True, 0.3440, False
path_5_4.dimacs, True, 0.3441, False
projective_plane_3_12.dimacs, False, 9.0876, False
random_tree_100_6.dimacs, True, 0.3483, False
random_tree_10_6.dimacs, True, 0.3317, False
random_tree_15_4.dimacs, True, 0.3652, False
random_tree_200_7.dimacs, True, 0.3562, False
random_tree_20_4.dimacs, True, 0.3450, False
random_tree_4_3.dimacs, True, 0.3546, False
random_tree_50_5.dimacs, True, 0.3423, False
random_tree_6_3.dimacs, True, 0.3335, False
random_tree_8_4.dimacs, True, 0.3566, False
