File, Satisfiable, Time taken (seconds), Should be Satisfiable
cycle_100_5.dimacs, True, 0.0313, True
cycle_10_5.dimacs, True, 0.0157, True
cycle_15_5.dimacs, True, 0.0143, True
cycle_200_5.dimacs, True, 0.0276, True
cycle_20_5.dimacs, True, 0.0122, True
cycle_3_5.dimacs, True, 0.0133, True
cycle_50_5.dimacs, True, 0.0227, True
cycle_5_5.dimacs, True, 0.0136, True
hypercube_5_12.dimacs, True, 0.0277, True
hypercube_6_14.dimacs, True, 0.0278, True
hypercube_7_16.dimacs, True, 0.2219, True
path_100_5.dimacs, True, 0.0232, True
path_10_5.dimacs, True, 0.0140, True
path_15_5.dimacs, True, 0.0149, True
path_200_5.dimacs, True, 0.0268, True
path_20_5.dimacs, True, 0.0138, True
path_2_3.dimacs, True, 0.0125, True
path_3_4.dimacs, True, 0.0134, True
path_4_4.dimacs, True, 0.0135, True
path_50_5.dimacs, True, 0.0192, True
path_5_5.dimacs, True, 0.0127, True
projective_plane_3_13.dimacs, True, 0.0216, True
random_regular_100_2_9.dimacs, True, 0.0367, True
random_regular_10_2_9.dimacs, True, 0.0207, True
random_regular_10_3_16.dimacs, True, 0.0169, True
random_regular_10_4_25.dimacs, True, 0.0296, True
random_regular_15_2_9.dimacs, True, 0.0125, True
random_regular_15_4_25.dimacs, True, 0.0218, True
random_regular_16_3_16.dimacs, True, 0.0224, True
random_regular_200_2_9.dimacs, True, 0.0236, True
random_regular_20_2_9.dimacs, True, 0.0220, True
random_regular_20_3_16.dimacs, True, 0.0231, True
random_regular_4_3_16.dimacs, True, 0.0120, True
random_regular_50_2_9.dimacs, True, 0.0198, True
random_regular_6_3_16.dimacs, True, 0.0134, True
random_regular_6_4_25.dimacs, True, 0.0246, True
random_tree_100_8.dimacs, True, 0.0224, True
random_tree_10_6.dimacs, True, 0.0191, True
random_tree_15_7.dimacs, True, 0.0195, True
random_tree_15_8.dimacs, True, 0.0130, True
random_tree_200_9.dimacs, True, 0.0275, True
random_tree_20_6.dimacs, True, 0.0197, True
random_tree_20_8.dimacs, True, 0.0112, True
random_tree_4_5.dimacs, True, 0.0119, True
random_tree_4_6.dimacs, True, 0.0206, True
random_tree_50_8.dimacs, True, 0.0228, True
random_tree_6_5.dimacs, True, 0.0182, True
random_tree_6_6.dimacs, True, 0.0113, True
random_tree_8_5.dimacs, True, 0.0129, True
random_tree_8_6.dimacs, True, 0.0125, True
random_tree_8_8.dimacs, True, 0.0191, True
cycle_100_4.dimacs, False, 0.0197, False
cycle_10_4.dimacs, False, 0.0140, False
cycle_15_4.dimacs, False, 0.0140, False
cycle_200_4.dimacs, False, 0.0283, False
cycle_20_4.dimacs, False, 0.0138, False
cycle_3_4.dimacs, False, 0.0122, False
cycle_50_4.dimacs, False, 0.0192, False
cycle_5_4.dimacs, False, 0.0133, False
hypercube_5_8.dimacs, False, 0.1808, False
hypercube_6_9.dimacs, False, 16.5088, False
hypercube_7_10.dimacs, None, 120.0324, False
path_100_4.dimacs, False, 0.0270, False
path_10_4.dimacs, False, 0.0176, False
path_15_4.dimacs, False, 0.0148, False
path_200_4.dimacs, False, 0.0236, False
path_20_4.dimacs, False, 0.0150, False
path_2_2.dimacs, False, 0.0130, False
path_3_3.dimacs, False, 0.0137, False
path_4_3.dimacs, False, 0.0128, False
path_50_4.dimacs, False, 0.0246, False
path_5_4.dimacs, False, 0.0131, False
projective_plane_3_12.dimacs, None, 120.0168, False
random_tree_100_6.dimacs, False, 0.0274, False
random_tree_10_4.dimacs, False, 0.0222, False
random_tree_15_5.dimacs, False, 0.0230, False
random_tree_15_6.dimacs, False, 0.0156, False
random_tree_200_7.dimacs, False, 0.0295, False
random_tree_20_4.dimacs, False, 0.0223, False
random_tree_20_6.dimacs, True, 0.0120, True
random_tree_4_3.dimacs, False, 0.0122, False
random_tree_4_4.dimacs, False, 0.0206, False
random_tree_50_6.dimacs, False, 0.0227, False
random_tree_6_3.dimacs, False, 0.0202, False
random_tree_6_4.dimacs, False, 0.0116, False
random_tree_8_3.dimacs, False, 0.0122, False
random_tree_8_4.dimacs, False, 0.0126, False
random_tree_8_6.dimacs, True, 0.0111, True
