n, k, Satisfiable, Time taken (seconds), Timeout happened
70, 140, True, 0.1322, False
70, 139, True, 0.1262, False
70, 138, True, 0.1298, False
70, 137, True, 0.1251, False
70, 136, True, 0.1271, False
70, 135, True, 0.1263, False
70, 134, True, 0.1239, False
70, 133, True, 0.1247, False
70, 132, True, 0.1177, False
70, 131, True, 0.1146, False
70, 130, True, 0.1174, False
70, 129, True, 0.1220, False
70, 128, True, 0.1209, False
70, 127, True, 0.1181, False
70, 126, True, 0.1103, False
70, 125, True, 0.1117, False
70, 124, True, 0.1149, False
70, 123, True, 0.1108, False
70, 122, True, 0.1115, False
70, 121, True, 0.1077, False
70, 120, True, 0.1046, False
70, 119, True, 0.1084, False
70, 118, True, 0.1046, False
70, 117, True, 0.1060, False
70, 116, True, 0.1045, False
70, 115, True, 0.1040, False
70, 114, True, 0.0995, False
70, 113, True, 0.1031, False
70, 112, True, 0.1004, False
70, 111, True, 0.1190, False
70, 110, True, 0.1024, False
70, 109, True, 0.0939, False
70, 108, True, 0.0934, False
70, 107, True, 0.0893, False
70, 106, True, 0.0893, False
70, 105, True, 0.0935, False
70, 104, True, 0.0878, False
70, 103, True, 0.0914, False
70, 102, True, 0.0886, False
70, 101, True, 0.0872, False
70, 100, True, 0.0845, False
70, 99, True, 0.0846, False
70, 98, True, 0.0802, False
70, 97, True, 0.0845, False
70, 96, True, 0.0822, False
70, 95, True, 0.0838, False
70, 94, True, 0.0779, False
70, 93, True, 0.0742, False
70, 92, True, 0.0771, False
70, 91, True, 0.0750, False
70, 90, True, 0.0738, False
70, 89, True, 0.0745, False
70, 88, True, 0.0711, False
70, 87, True, 0.0733, False
70, 86, True, 0.0692, False
70, 85, True, 0.0754, False
70, 84, True, 0.0682, False
70, 83, True, 0.0694, False
70, 82, True, 0.0735, False
70, 81, True, 0.0634, False
70, 80, True, 0.0626, False
70, 79, True, 0.0637, False
70, 78, True, 0.0634, False
70, 77, True, 0.0605, False
70, 76, True, 0.0593, False
70, 75, True, 0.0598, False
70, 74, True, 0.0593, False
70, 73, True, 0.0573, False
70, 72, True, 0.0570, False
70, 71, True, 0.0569, False
70, 70, True, 0.0672, False
70, 69, True, 0.0569, False
70, 68, True, 0.0549, False
70, 67, True, 0.0524, False
70, 66, True, 0.0523, False
70, 65, True, 0.0516, False
70, 64, True, 0.0499, False
70, 63, True, 0.0496, False
70, 62, True, 0.0485, False
70, 61, True, 0.0473, False
70, 60, True, 0.0489, False
70, 59, True, 0.0497, False
70, 58, True, 0.0445, False
70, 57, True, 0.0525, False
70, 56, True, 0.0436, False
70, 55, True, 0.0451, False
70, 54, True, 0.0507, False
70, 53, True, 0.0455, False
70, 52, True, 0.0433, False
70, 51, True, 0.0409, False
70, 50, True, 0.0409, False
70, 49, True, 0.0403, False
70, 48, True, 0.0436, False
70, 47, True, 0.0384, False
70, 46, True, 0.0382, False
70, 45, True, 0.0388, False
70, 44, True, 0.0372, False
70, 43, True, 0.0358, False
70, 42, True, 0.0349, False
70, 41, True, 0.0357, False
70, 40, True, 0.0332, False
70, 39, True, 0.0325, False
70, 38, True, 0.0340, False
70, 37, True, 0.0318, False
70, 36, True, 0.0313, False
70, 35, True, 0.0307, False
70, 34, True, 0.0313, False
70, 33, True, 0.0302, False
70, 32, True, 0.0304, False
70, 31, True, 0.0294, False
70, 30, True, 0.0339, False
70, 29, True, 0.0284, False
70, 28, True, 0.0284, False
70, 27, True, 0.0271, False
70, 26, True, 0.0271, False
70, 25, True, 0.0278, False
70, 24, True, 0.0269, False
70, 23, True, 0.0266, False
70, 22, None, 120.0305, True
