File, Satisfiable, Time taken (seconds), Should be Satisfiable
cycle_10_5.dimacs, True, 0.0197, True
cycle_3_5.dimacs, True, 0.0174, True
cycle_5_5.dimacs, True, 0.0140, True
hypercube_5_12.dimacs, True, 0.0290, True
path_10_5.dimacs, True, 0.0138, True
path_2_3.dimacs, True, 0.0133, True
path_3_4.dimacs, True, 0.0138, True
path_4_4.dimacs, True, 0.0131, True
path_5_5.dimacs, True, 0.0139, True
projective_plane_3_13.dimacs, True, 0.0237, True
random_regular_10_2_9.dimacs, True, 0.0212, True
random_regular_15_2_9.dimacs, True, 0.0202, True
random_regular_4_3_16.dimacs, True, 0.0202, True
random_regular_6_3_16.dimacs, True, 0.0212, True
random_tree_4_5.dimacs, True, 0.0208, True
random_tree_6_6.dimacs, True, 0.0202, True
random_tree_8_5.dimacs, True, 0.0197, True
cycle_10_4.dimacs, False, 0.0140, False
cycle_3_4.dimacs, False, 0.0139, False
cycle_5_4.dimacs, False, 0.0145, False
hypercube_5_8.dimacs, False, 0.1828, False
path_10_4.dimacs, False, 0.0167, False
path_2_2.dimacs, False, 0.0152, False
path_3_3.dimacs, False, 0.0163, False
path_4_3.dimacs, False, 0.0193, False
path_5_4.dimacs, False, 0.0197, False
projective_plane_3_12.dimacs, None, 5.0274, False
random_tree_4_3.dimacs, False, 0.0206, False
random_tree_6_4.dimacs, False, 0.0240, False
random_tree_8_3.dimacs, False, 0.0266, False
